timestamp,vehicle_id,latitude,longitude,speed,heading,protocol,message_type,is_attack,attack_type,attack_severity,attack_description
2025-06-10T20:09:35Z,13928253,37.84475489,-122.34434006,32.00,153.00,DSRC,BSM,false,,,
2025-06-10T20:09:35Z,10136694,37.79090886,-122.34043345,33.00,125.00,CV2X,BSM,false,,,
2025-06-10T20:09:35Z,9514324,37.82075219,-122.39426288,21.00,187.00,DSRC,BSM,false,,,
2025-06-10T20:09:35Z,10136694,37.78966933,-122.33683959,32.00,129.00,CV2X,BSM,true,position_jump,high,Vehicle position changed unrealistically between messages
2025-06-10T20:09:36Z,13928253,37.84474205,-122.34434043,32.00,149.00,DSRC,BSM,false,,,
2025-06-10T20:09:36Z,9168801,37.79934341,-122.36314138,39.00,213.00,CV2X,BSM,true,replay_attack,high,Potential replay attack detected (duplicate message)
2025-06-10T20:09:36Z,0,0.00000000,0.00000000,0.00,0.00,CV2X,DENM,false,,,
2025-06-10T20:09:36Z,12099635,37.84355010,-122.35795445,28.00,98.00,DSRC,BSM,false,,,
2025-06-10T20:09:36Z,10136694,37.78965663,-122.33685066,31.00,133.00,CV2X,BSM,false,,,
2025-06-10T20:09:37Z,9168801,37.79935699,-122.36314113,38.00,215.00,DSRC,BSM,false,,,
2025-06-10T20:09:37Z,2890989,37.79801690,-122.33995176,28.00,20.00,CV2X,BSM,false,,,
2025-06-10T20:09:37Z,12099635,37.84355869,-122.35794626,30.00,101.00,DSRC,BSM,false,,,
2025-06-10T20:09:37Z,2213268,37.83630228,-122.35182760,31.00,134.00,CV2X,BSM,false,,,
2025-06-10T20:09:38Z,10542042,37.86930890,-122.40837371,17.00,297.00,DSRC,BSM,false,,,
2025-06-10T20:09:38Z,10136694,37.78966460,-122.33684696,31.00,144.00,CV2X,BSM,false,,,
2025-06-10T20:09:38Z,13928253,37.84474918,-122.34434489,35.00,151.00,DSRC,BSM,false,,,
2025-06-10T20:09:38Z,12099635,37.84355820,-122.35795648,28.00,102.00,CV2X,BSM,false,,,
2025-06-10T20:09:39Z,10542042,37.86930918,-122.40837883,16.00,301.00,DSRC,BSM,false,,,
2025-06-10T20:09:39Z,2890989,37.79802564,-122.33995282,30.00,26.00,CV2X,BSM,false,,,
2025-06-10T20:09:39Z,10542042,37.86931222,-122.40837611,16.00,301.00,DSRC,BSM,false,,,
2025-06-10T20:09:39Z,9168801,37.79936447,-122.36317436,37.00,228.00,CV2X,BSM,true,replay_attack,high,Potential replay attack detected (duplicate message)
2025-06-10T20:09:40Z,9995624,37.84639637,-122.39668817,24.00,2.00,DSRC,BSM,false,,,
2025-06-10T20:09:40Z,2890989,37.79802588,-122.33995273,31.00,30.00,CV2X,BSM,false,,,
2025-06-10T20:09:40Z,12099635,37.84354545,-122.35795562,27.00,108.00,DSRC,BSM,false,,,
2025-06-10T20:09:40Z,13928253,37.84473745,-122.34435817,33.00,154.00,CV2X,BSM,false,,,
2025-06-10T20:09:41Z,10136694,37.78966563,-122.33685882,32.00,146.00,DSRC,BSM,false,,,
